User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC
Q9Y2W1,THRAP3,382 / 716,21.9,168
O75694,NUP155,175 / 716,3.5,29
O15020,SPTBN2,98 / 716,5.7,41
Q9Y2W2,WBP11,131 / 716,5.5,42
Q5T8P6,RBM26,146 / 716,13.5,71
Q9NVI1,FANCI,115 / 716,2.8,18
Q14684,RRP1B,214 / 716,4.2,27
Q9UKE5,TNIK,55 / 716,4.7,12
Q53GS9,USP39,109 / 716,3.4,11
Q8IX01,SUGP2,136 / 716,18.5,99
P14923,JUP,244 / 716,5.4,44
Q9NRL2,BAZ1A,118 / 716,14.5,74
O15042,U2SURP,262 / 716,15.4,132
Q12996,CSTF3,78 / 716,2.8,31
Q86U86,PBRM1,49 / 716,3,11
Q01844,EWSR1,301 / 716,17.1,362
Q15269,PWP2,50 / 716,3.4,18
O75934,BCAS2,104 / 716,4.2,26
Q96J01,THOC3,162 / 716,1.8,7
Q01085,TIAL1,94 / 716,6.7,19
Q03701,CEBPZ,98 / 716,4,31
Q9Y2P8,RCL1,64 / 716,4.1,16
P07197,NEFM,199 / 716,2.1,31
P46940,IQGAP1,197 / 716,6.5,79
O14787,TNPO2,70 / 716,1.4,5
Q08170,SRSF4,317 / 716,3,28
Q8TDN6,BRIX1,178 / 716,3.3,22
P57740,NUP107,135 / 716,2.4,16
Q8WUM0,NUP133,145 / 716,5,25
Q02880,TOP2B,146 / 716,13.5,104
Q6P1J9,CDC73,162 / 716,5.3,39
Q29RF7,PDS5A,136 / 716,3.2,27
Q8TEM1,NUP210,82 / 716,7.6,53
P18583,SON,219 / 716,17.4,162
Q96E39,RBMXL1,356 / 716,5.3,55
P02545,LMNA,240 / 716,9,116
P04908,HIST1H2AB,550 / 716,10.1,209
Q9Y3T9,NOC2L,86 / 716,2.7,17
Q8WXF1,PSPC1,217 / 716,5.3,68
O75691,UTP20,43 / 716,4.9,35
P84103,SRSF3,392 / 716,5.3,42
Q14160,SCRIB,109 / 716,11.2,60
P24928,POLR2A,175 / 716,4.5,84
P46013,MKI67,246 / 716,75.6,612
P49959,MRE11,191 / 716,24.3,84
Q96GQ7,DDX27,107 / 716,3.7,28
Q8TDD1,DDX54,148 / 716,3.1,15
Q8WYA6,CTNNBL1,61 / 716,3.1,17
Q69YN4,KIAA1429,69 / 716,3.2,16
Q7Z6E9,RBBP6,147 / 716,15.4,115
Q96CW1,AP2M1,48 / 716,1.7,6
P46087,NOP2,276 / 716,6.1,53
Q9H8H0,NOL11,98 / 716,5.1,33
Q92797,SYMPK,111 / 716,3.4,38
Q07157,TJP1,134 / 716,19,88
Q9NTI5,PDS5B,65 / 716,2.9,24
Q05519,SRSF11,243 / 716,6.3,40
Q92878,RAD50,146 / 716,9.4,100
Q7Z4V5,HDGFL2,185 / 716,5.6,33
Q16576,RBBP7,370 / 716,6.8,42
Q09028,RBBP4,393 / 716,5.5,28
P26038,MSN,230 / 716,4.4,51
Q13242,SRSF9,151 / 716,3.8,25
Q99986,VRK1,62 / 716,1.4,7
Q6PK04,CCDC137,45 / 716,1.6,7
Q8WWQ0,PHIP,56 / 716,8.2,37
O43660,PLRG1,108 / 716,5.1,30
Q5BKZ1,ZNF326,193 / 716,3.2,14
Q12830,BPTF,114 / 716,11.8,69
Q8IYB3,SRRM1,240 / 716,6.4,42
Q10570,CPSF1,139 / 716,9.3,52
P09012,SNRPA,194 / 716,3.9,42
P28370,SMARCA1,163 / 716,10.1,62
Q01780,EXOSC10,210 / 716,9,87
Q9H6F5,CCDC86,43 / 716,2,10
Q14676,MDC1,148 / 716,32.1,123
Q15397,PUM3,26 / 716,4.3,16
O60832,DKC1,186 / 716,3.7,21
Q9P0M6,H2AFY2,78 / 716,4.4,32
Q07955,SRSF1,280 / 716,8.7,60
Q9BU76,MMTAG2,230 / 716,5.5,46
Q13823,GNL2,138 / 716,16.3,98
Q14498,RBM39,366 / 716,11.1,127
P49792,RANBP2,268 / 716,47.7,389
Q9UDY2,TJP2,106 / 716,5,27
O00541,PES1,178 / 716,9.5,74
Q9UNQ2,DIMT1,51 / 716,2.3,9
Q9H9B1,EHMT1,82 / 716,3.1,26
P55265,ADAR,235 / 716,8.8,61
Q9H8H2,DDX31,40 / 716,2.8,16
Q9BUQ8,DDX23,144 / 716,6.7,179
O43818,RRP9,26 / 716,1.8,9
P82979,SARNP,213 / 716,3.1,13
P52701,MSH6,222 / 716,4.9,31
Q9H307,PNN,166 / 716,16.1,107
Q13206,DDX10,118 / 716,18.9,103
Q9UKD2,MRTO4,128 / 716,2.7,13
O00505,KPNA3,143 / 716,2.8,15
Q9P2E9,RRBP1,172 / 716,7,146
P18754,RCC1,143 / 716,3.1,21
Q96I25,RBM17,206 / 716,5.8,39
Q99848,EBNA1BP2,137 / 716,4.7,33
P07196,NEFL,187 / 716,2.5,53
Q8TED0,UTP15,12 / 716,2.8,11
Q8NI27,THOC2,222 / 716,9.5,70
Q9UEY8,ADD3,120 / 716,4.4,17
Q2NL82,TSR1,148 / 716,3.1,30
Q9Y5S9,RBM8A,123 / 716,2.5,13
Q13895,BYSL,146 / 716,3.9,22
Q9BVI4,NOC4L,55 / 716,2.3,11
Q05048,CSTF1,46 / 716,2,12
Q96T88,UHRF1,89 / 716,2.1,14
Q9NXE4,SMPD4,36 / 716,1.2,3
Q9BW71,HIRIP3,5 / 716,1,1
O00139,KIF2A,105 / 716,1.8,9
Q9UKV3,ACIN1,206 / 716,25.7,131
P55081,MFAP1,203 / 716,4.8,33
O95453,PARN,30 / 716,1.8,8
Q9Y4W2,LAS1L,108 / 716,3,13
Q7L2E3,DHX30,188 / 716,6.5,48
Q8IX12,CCAR1,103 / 716,3,12
P51858,HDGF,174 / 716,2.5,21
Q5JTH9,RRP12,176 / 716,4,27
Q7Z3B4,NUP54,33 / 716,1.5,7
O75937,DNAJC8,167 / 716,2.5,11
O15226,NKRF,168 / 716,3,17
P49790,NUP153,200 / 716,21.3,201
Q15061,WDR43,116 / 716,5.2,35
O95782,AP2A1,80 / 716,1.6,14
P12081,HARS,82 / 716,2.3,12
Q9UNX4,WDR3,62 / 716,3.1,19
P55769,SNU13,194 / 716,2.8,18
O43719,HTATSF1,182 / 716,3.7,32
Q9H0A0,NAT10,196 / 716,13.6,128
P49916,LIG3,101 / 716,2.5,24
O15381,NVL,107 / 716,4.5,17
Q9H7B2,RPF2,53 / 716,2.7,13
Q13523,PRPF4B,131 / 716,8.2,63
Q13601,KRR1,76 / 716,1.9,8
Q06787,FMR1,131 / 716,4.2,44
Q9P2K5,MYEF2,27 / 716,2.1,6
O94906,PRPF6,180 / 716,5.3,31
O95777,LSM8,102 / 716,2.4,10
Q92922,SMARCC1,188 / 716,5.4,43
Q8TAQ2,SMARCC2,164 / 716,6.2,36
Q14692,BMS1,141 / 716,5.1,44
Q96SI9,STRBP,186 / 716,2.4,15
Q8IWA0,WDR75,31 / 716,2.4,13
Q9BYG3,NIFK,84 / 716,2.6,13
P56545,CTBP2,71 / 716,1.5,5
Q5SSJ5,HP1BP3,214 / 716,8.1,100
Q8IXT5,RBM12B,12 / 716,3.8,9
O43395,PRPF3,168 / 716,10,71
Q86XP3,DDX42,199 / 716,12.9,80
Q14562,DHX8,133 / 716,4.7,34
O95232,LUC7L3,324 / 716,6,36
O00425,IGF2BP3,288 / 716,5.2,34
Q9UH99,SUN2,35 / 716,27.1,209
P09661,SNRPA1,314 / 716,8.2,64
P52948,NUP98,136 / 716,5.1,37
Q9UHX1,PUF60,307 / 716,18.5,124
Q13363,CTBP1,34 / 716,1.4,4
Q9HCG8,CWC22,47 / 716,2.7,12
O94776,MTA2,206 / 716,6.8,54
Q9UHB6,LIMA1,218 / 716,16.1,117
Q4G0J3,LARP7,92 / 716,2.5,18
Q93009,USP7,201 / 716,7.4,39
O43913,ORC5,27 / 716,1.9,6
Q12874,SF3A3,229 / 716,4.8,32
P42166,TMPO,386 / 716,17.7,89
Q9BV38,WDR18,161 / 716,3,22
Q9ULW0,TPX2,152 / 716,19,108
Q9Y383,LUC7L2,332 / 716,11.6,106
Q13868,EXOSC2,130 / 716,2.8,19
P41223,BUD31,73 / 716,2.4,20
Q92614,MYO18A,25 / 716,20.6,115
O43290,SART1,233 / 716,11.6,97
Q9Y2X3,NOP58,246 / 716,4.6,40
P35221,CTNNA1,114 / 716,3.5,48
Q5VTL8,PRPF38B,159 / 716,4.8,42
Q9H0S4,DDX47,96 / 716,3.1,22
P17480,UBTF,68 / 716,5.6,53
Q13595,TRA2A,116 / 716,3.7,22
Q8N3U4,STAG2,107 / 716,3.5,34
O94813,SLIT2,3 / 716,2.3,5
P35251,RFC1,129 / 716,6.9,54
P56537,EIF6,216 / 716,2.3,11
Q9BVJ6,UTP14A,117 / 716,4.6,34
Q09161,NCBP1,124 / 716,4.2,29
P78549,NTHL1,8 / 716,1.6,4
P78346,RPP30,49 / 716,3,13
Q14566,MCM6,282 / 716,7.6,42
O75152,ZC3H11A,161 / 716,8.8,39
Q9ULX6,AKAP8L,85 / 716,2.1,9
Q9NVX2,NLE1,33 / 716,1.5,3
Q8WX92,NELFB,47 / 716,1.7,7
Q15287,RNPS1,242 / 716,3.9,22
P83916,CBX1,204 / 716,4.1,36
Q86XI2,NCAPG2,13 / 716,1.1,2
Q6PJT7,ZC3H14,145 / 716,7.4,35
Q15291,RBBP5,75 / 716,2,8
Q9BW27,NUP85,81 / 716,1.4,5
Q7L576,CYFIP1,217 / 716,5,64
P42695,NCAPD3,25 / 716,1.4,4
Q6PD62,CTR9,66 / 716,4.1,25
P25440,BRD2,84 / 716,1.9,7
Q9Y5J1,UTP18,64 / 716,2.3,12
Q5QJE6,DNTTIP2,113 / 716,5.9,42
Q9BTC8,MTA3,166 / 716,3.6,33
Q13330,MTA1,192 / 716,11.5,99
Q49A26,GLYR1,144 / 716,4.4,24
O43172,PRPF4,148 / 716,5.7,43
P45973,CBX5,100 / 716,1.9,12
Q92620,DHX38,110 / 716,3.9,30
P36873,PPP1CC,343 / 716,5.7,38
Q14254,FLOT2,44 / 716,4.8,26
Q9Y3B9,RRP15,106 / 716,1.9,7
Q9GZR7,DDX24,138 / 716,3.1,16
Q86W42,THOC6,79 / 716,3.6,23
P04637,TP53,131 / 716,10.8,139
P05023,ATP1A1,335 / 716,7.3,88
P35611,ADD1,140 / 716,5,19
Q13112,CHAF1B,98 / 716,1.6,5
Q8WWY3,PRPF31,251 / 716,7.6,122
O00566,MPHOSPH10,41 / 716,5.3,23
A6NHR9,SMCHD1,155 / 716,6,37
Q15428,SF3A2,176 / 716,4.2,23
Q9C0J8,WDR33,117 / 716,4.3,43
Q2TAY7,SMU1,73 / 716,6.1,36
Q99567,NUP88,156 / 716,3.6,21
Q1ED39,KNOP1,117 / 716,7.1,29
O15347,HMGB3,87 / 716,1.9,6
P53999,SUB1,334 / 716,6.7,52
Q16643,DBN1,204 / 716,16.1,403
Q9BWJ5,SF3B5,141 / 716,2.5,8
O75494,SRSF10,150 / 716,2.8,19
Q9NW13,RBM28,158 / 716,2.7,26
Q96DI7,SNRNP40,150 / 716,4,22
Q01105,SET,384 / 716,5.7,33
P26583,HMGB2,161 / 716,4.9,24
Q92979,EMG1,84 / 716,2.5,10
Q9BVL2,NUP58,15 / 716,1.1,2
Q8WYP5,AHCTF1,135 / 716,41.3,284
Q13243,SRSF5,260 / 716,1.7,15
Q5UIP0,RIF1,170 / 716,20.7,132
Q9NZM5,NOP53,100 / 716,2.1,8
P51608,MECP2,80 / 716,4.1,14
O96019,ACTL6A,135 / 716,4.8,19
Q5RKV6,EXOSC6,179 / 716,2.2,9
P43246,MSH2,202 / 716,4,27
Q16630,CPSF6,299 / 716,5.3,28
Q8NFH5,NUP35,17 / 716,1.6,6
Q8WVV9,HNRNPLL,80 / 716,1.5,8
Q9GZL7,WDR12,45 / 716,3.3,14
Q92522,H1FX,257 / 716,5.2,27
O15144,ARPC2,71 / 716,4.4,37
P48634,PRRC2A,212 / 716,7.7,42
Q15050,RRS1,93 / 716,6.6,35
Q9NYH9,UTP6,11 / 716,3.1,13
Q15637,SF1,256 / 716,7.9,64
Q01081,U2AF1,351 / 716,3.5,16
P0DN76,U2AF1L5,351 / 716,3.5,16
Q92769,HDAC2,315 / 716,5.1,48
Q08J23,NSUN2,254 / 716,3.9,30
Q15046,KARS,216 / 716,6.9,30
Q9BUJ2,HNRNPUL1,254 / 716,14.2,68
P35222,CTNNB1,78 / 716,2.6,26
Q969X6,UTP4,28 / 716,2,13
O75525,KHDRBS3,55 / 716,2.1,15
Q12769,NUP160,83 / 716,2.1,13
P42285,SKIV2L2,215 / 716,6.7,51
Q969G3,SMARCE1,168 / 716,3.3,15
Q6P6C2,ALKBH5,46 / 716,1.3,5
Q9H4L4,SENP3,136 / 716,1.7,6
P06576,ATP5B,427 / 716,14.7,104
O14559,ARHGAP33, / 716,0,
P62308,SNRPG,146 / 716,1.9,7
A8MWD9,SNRPGP15,146 / 716,1.8,7
Q9NP66,HMG20A,27 / 716,2.6,6
O75530,EED,10 / 716,1.4,3
O75955,FLOT1,45 / 716,5.6,34
Q6UN15,FIP1L1,219 / 716,5.4,35
P09234,SNRPC,221 / 716,2.3,8
Q53HL2,CDCA8,44 / 716,3.8,22
Q9P2I0,CPSF2,166 / 716,3.4,23
P78406,RAE1,112 / 716,1.9,8
O43823,AKAP8,111 / 716,2.5,11
P19387,POLR2C,73 / 716,2.2,15
Q7L2H7,EIF3M,162 / 716,2.9,11
Q7Z7K6,CENPV,31 / 716,2.1,9
O60684,KPNA6,155 / 716,2.5,9
Q14011,CIRBP,208 / 716,8.8,49
Q8IWX8,CHERP,217 / 716,7.8,45
Q99496,RNF2,67 / 716,2,7
Q9BQ67,GRWD1,160 / 716,2.3,9
Q9Y221,NIP7,34 / 716,2,8
Q9UFC0,LRWD1,86 / 716,9.2,32
Q9NV31,IMP3,30 / 716,1.4,5
Q8IUF8,RIOX2,3 / 716,1,1
Q96KR1,ZFR,253 / 716,7.6,78
P61964,WDR5,99 / 716,3.1,10
O95983,MBD3,133 / 716,3.8,31
Q9NX58,LYAR,94 / 716,2.1,10
O43251,RBFOX2,43 / 716,1.5,5
Q9H9Y6,POLR1B,23 / 716,4.2,18
Q9UNP9,PPIE,25 / 716,1.6,5
P29372,MPG,37 / 716,2.2,12
Q9NQG5,RPRD1B,108 / 716,3.2,17
P37198,NUP62,118 / 716,1.8,7
Q14241,ELOA,122 / 716,6.3,64
P55196,AFDN,116 / 716,33.5,128
Q15020,SART3,198 / 716,14.6,70
P52434,POLR2H,196 / 716,1.8,13
Q8IWS0,PHF6,156 / 716,1.8,8
O43159,RRP8,50 / 716,1.5,4
Q9NPA8,ENY2,84 / 716,2.2,6
Q8NFH3,NUP43,37 / 716,1.8,7
Q9BY44,EIF2A,90 / 716,4.3,18
Q15427,SF3B4,198 / 716,2.9,13
Q6STE5,SMARCD3,29 / 716,1.5,4
Q96GM5,SMARCD1,60 / 716,2.3,8
Q12888,TP53BP1,146 / 716,13.5,124
Q9NY61,AATF,39 / 716,2.1,12
Q9Y3C1,NOP16,57 / 716,3.1,8
Q9NW64,RBM22,45 / 716,3.4,17
P49915,GMPS,229 / 716,5.2,29
O60828,PQBP1,67 / 716,2.9,13
Q14126,DSG2,113 / 716,10.8,62
P01619,IGKV3-20,1 / 716,1,1
P13804,ETFA,148 / 716,5.8,36
O15523,DDX3Y,480 / 716,9.8,66
Q13492,PICALM,78 / 716,2.1,31
Q9NV06,DCAF13,7 / 716,2.4,7
Q7L1Q6,BZW1,35 / 716,2,11
O94973,AP2A2,80 / 716,1.5,10
Q96QC0,PPP1R10,158 / 716,23.8,90
P19784,CSNK2A2,74 / 716,2.1,12
Q8NEV1,CSNK2A3,149 / 716,3.6,25
P68400,CSNK2A1,150 / 716,3.7,25
O14646,CHD1,94 / 716,7.3,57
Q99549,MPHOSPH8,22 / 716,2.1,6
Q14315,FLNC,373 / 716,14.7,154
Q9H2P0,ADNP,139 / 716,26.2,131
Q9BZK7,TBL1XR1,45 / 716,1.2,2
O95758,PTBP3,182 / 716,2.4,10
O60231,DHX16,112 / 716,2.3,13
Q9UMY1,NOL7,42 / 716,2.1,6
Q9Y3A2,UTP11,2 / 716,1.5,2
O60306,AQR,52 / 716,7.9,37
O75683,SURF6,114 / 716,5.6,27
Q04760,GLO1,130 / 716,4.5,26
Q9Y3E1,HDGFL3,93 / 716,1.8,5
P82970,HMGN5,32 / 716,1.8,5
Q99439,CNN2,164 / 716,2.6,13
P12235,SLC25A4,478 / 716,7.5,48
Q12789,GTF3C1,134 / 716,6.7,49
Q15007,WTAP,77 / 716,2.3,17
Q9BTC0,DIDO1,140 / 716,27.2,184
Q9Y4Z0,LSM4,139 / 716,3.3,17
P27695,APEX1,109 / 716,3.2,12
Q86X83,COMMD2,9 / 716,1.3,3
P24941,CDK2,234 / 716,2.4,13
Q9NYV4,CDK12,199 / 716,4.4,27
Q14004,CDK13,193 / 716,3.1,25
O95478,NSA2,36 / 716,1.5,6
P56182,RRP1,92 / 716,1.7,7
P53350,PLK1,54 / 716,1.4,3
Q96QD9,FYTTD1,24 / 716,2.1,8
Q8N1G0,ZNF687,82 / 716,2.9,10
Q5VZL5,ZMYM4,93 / 716,6,20
Q14240,EIF4A2,461 / 716,7.4,37
P35241,RDX,225 / 716,4.5,50
Q9UBB9,TFIP11,129 / 716,12,53
Q969V3,NCLN,41 / 716,1.8,6
Q96T58,SPEN,101 / 716,24.3,73
Q5SRE5,NUP188,52 / 716,1.8,9
Q04917,YWHAH,313 / 716,4.2,29
P08579,SNRPB2,214 / 716,3.6,36
Q9BRL6,SRSF8,204 / 716,2.2,8
Q14966,ZNF638,152 / 716,11.8,105
Q92879,CELF1,26 / 716,1.3,3
P49750,YLPM1,162 / 716,16.7,100
Q68CQ4,DIEXF,1 / 716,1,1
P54886,ALDH18A1,292 / 716,11.2,57
Q9BZJ0,CRNKL1,92 / 716,3.9,29
P07237,P4HB,247 / 716,13.1,85
Q86VM9,ZC3H18,123 / 716,5.1,33
Q96KM6,ZNF512B,71 / 716,3.4,14
Q14141,SEPT6,120 / 716,2.3,7
O75477,ERLIN1,81 / 716,1.7,9
Q9NPD3,EXOSC4,124 / 716,2.7,16
Q53F19,NCBP3,81 / 716,2.3,18
P51116,FXR2,139 / 716,3.7,47
P53990,IST1,8 / 716,1.3,2
Q9H0H5,RACGAP1,72 / 716,4.4,35
P10398,ARAF,42 / 716,1.2,3
Q92804,TAF15,383 / 716,6.1,41
Q9Y2K7,KDM2A,24 / 716,3.5,13
P28070,PSMB4,149 / 716,3.5,17
P42696,RBM34,87 / 716,2.4,13
Q8IZH2,XRN1,105 / 716,16.3,49
O14497,ARID1A,129 / 716,7.7,51
P62820,RAB1A,195 / 716,4,20
O60885,BRD4,128 / 716,21,95
P51153,RAB13,128 / 716,2,8
Q13427,PPIG,86 / 716,4.1,20
Q9HCS7,XAB2,140 / 716,18,122
P24468,NR2F2,4 / 716,2.5,7
Q9H5H4,ZNF768,22 / 716,1.2,4
P35612,ADD2,44 / 716,1.2,7
Q9P0K7,RAI14,121 / 716,18.6,100
Q86UE4,MTDH,179 / 716,5.7,20
Q13610,PWP1,64 / 716,2.7,7
Q8N9T8,KRI1,131 / 716,2.3,18
Q5SY16,NOL9,78 / 716,2.6,10
Q15024,EXOSC7,84 / 716,2.1,10
Q13547,HDAC1,306 / 716,4.5,45
Q9UPN9,TRIM33,69 / 716,2.2,6
Q14807,KIF22,65 / 716,1.8,9
Q96SB4,SRPK1,157 / 716,2.8,13
Q96RN5,MED15,11 / 716,1.1,2
Q13418,ILK,10 / 716,1.1,2
Q9BWE0,REPIN1,2 / 716,1,1
Q96T23,RSF1,89 / 716,6.4,45
P31483,TIA1,83 / 716,5.5,16
Q9P013,CWC15,151 / 716,5,20
Q5T3I0,GPATCH4,114 / 716,2.6,14
Q96SY0,INTS14,5 / 716,1,1
O15164,TRIM24,59 / 716,2.2,8
P78316,NOP14,46 / 716,2.8,11
Q8N8A6,DDX51,18 / 716,1.7,6
Q9UKX7,NUP50,175 / 716,7.4,46
P35270,SPR,10 / 716,1.7,5
Q6NZY4,ZCCHC8,138 / 716,9,50
Q9Y281,CFL2,392 / 716,3.8,38
Q9UBD5,ORC3,85 / 716,2.5,10
P67775,PPP2CA,193 / 716,2.3,9
P62714,PPP2CB,193 / 716,2.2,9
Q8N3R9,MPP5,6 / 716,3,10
Q8N7H5,PAF1,131 / 716,5,44
O75717,WDHD1,107 / 716,5.4,52
Q9NUQ3,TXLNG,51 / 716,1.3,4
O60716,CTNND1,99 / 716,4,24
Q8NEJ9,NGDN,36 / 716,1.6,4
Q9BXY0,MAK16,23 / 716,2,5
Q9ULR0,ISY1,57 / 716,3.3,17
Q02241,KIF23,136 / 716,5.2,62
Q5C9Z4,NOM1,39 / 716,1.2,4
Q6PL18,ATAD2,29 / 716,5.1,32
Q6RFH5,WDR74,11 / 716,1.5,3
O60870,KIN,9 / 716,1.8,3
Q96P11,NSUN5,12 / 716,2.4,7
Q9NQT5,EXOSC3,137 / 716,1.8,9
Q9BRJ6,C7ORF50,62 / 716,2,6
Q9BRT6,LLPH,43 / 716,2.3,17
Q8N5F7,NKAP,125 / 716,3.6,14
Q16527,CSRP2,217 / 716,3.9,35
A8CG34,POM121C,76 / 716,1.9,12
Q96ST3,SIN3A,147 / 716,10.1,66
P17096,HMGA1,174 / 716,3.6,19
Q8WXA9,SREK1,147 / 716,4.2,36
Q96A65,EXOC4,112 / 716,5.6,22
P98179,RBM3,176 / 716,5.4,31
Q9NWT1,PAK1IP1,23 / 716,3,8
Q9UPT8,ZC3H4,134 / 716,6.9,70
Q96SB8,SMC6,6 / 716,1.8,5
P13861,PRKAR2A,140 / 716,2.3,9
Q92917,GPKOW,107 / 716,3.6,29
O95071,UBR5,44 / 716,2.4,24
Q9Y333,LSM2,75 / 716,2.2,7
P67936,TPM4,311 / 716,4,32
P11216,PYGB,71 / 716,2.5,12
Q00537,CDK17,157 / 716,1.2,3
Q96T17,MAP7D2,51 / 716,1.4,3
P06732,CKM,39 / 716,1.5,9
Q9NRW1,RAB6B,137 / 716,1.9,8
P20340,RAB6A,143 / 716,2.3,10
